user,date,text,location,coordinates
lovelyrita1,Fri Feb 18 13:18:47 +0000 2022,"RT @RMFifthCircuit: W....ow.  The Fifth Circuit's just held that United 
Airlines employees might suffer irreparable injury from the compan…",Fast to nowhere,
laxradar,Fri Feb 18 13:16:07 +0000 2022,"United Airlines flight #UAL1110 spotted at 10,875 feet! https://t.co/Vssweq80Z7","Los Angeles, CA",
Tony87383987,Fri Feb 18 13:15:36 +0000 2022,@united Bullshit United airlines!!   You canceled our flights while other airlines are flying. First you blame seve… https://t.co/TG8XI9gFhh,,
_cachella,Fri Feb 18 13:15:22 +0000 2022,united airlines has fucked me over 3 times in the last 24 hours,"Michigan, USA",
fleejack,Fri Feb 18 13:14:25 +0000 2022,"RT @MoniHawkins: We appreciate you 
#flightattendant Delta Air Lines American Airlines  United Airlines https://t.co/5RIwBq1gWn","Cary, NC",
AbubakarMundir,Fri Feb 18 13:11:05 +0000 2022,"RT @BusinessDayNg: If Air Peace goes under, Nigeria’s economy will suffer – CEO United Nigeria Airlines

#aviation #airpeace #economy #unit…",Nigeria,
TammyinMT406,Fri Feb 18 13:09:28 +0000 2022,"RT @RMFifthCircuit: W....ow.  The Fifth Circuit's just held that United 
Airlines employees might suffer irreparable injury from the compan…","Great Northwest, USA",
centralspotter,Fri Feb 18 13:07:46 +0000 2022,"👀✈️🔊
N817AN 
#AAL221 
#American Airlines 
#United States
#Boeing 787 8 
#American Airlines#AB236A
From: #AMS Amster… https://t.co/KTSPE3NPSR","Scotland, United Kingdom",
goodwones,Fri Feb 18 13:07:45 +0000 2022,United Airlines hates their passengers. https://t.co/RC3FSk6SKH,,
grahamparkerfc,Fri Feb 18 13:05:21 +0000 2022,@JonnyGabriel @JamesTylerESPN You've only come to see United Airlines.,"New York, USA",
derrickdWills76,Fri Feb 18 13:01:02 +0000 2022,THANK U UNITED AIRLINES.  L.A.D.Y. N.I.R.E. N.O.R E. .. LOVE YAAH💋 https://t.co/w8Aktt6NCi,San Francisco CA.,
theadvocatebr,Fri Feb 18 13:00:09 +0000 2022,"The 5th U.S. Circuit Court of Appeals' ruling doesn’t block United Airlines' vaccine mandate, but it says a lower c… https://t.co/BtkZIjZfdq","Baton Rouge, LA",
NOLAnews,Fri Feb 18 13:00:08 +0000 2022,"The 5th U.S. Circuit Court of Appeals' ruling doesn’t block United Airlines' vaccine mandate, but it says a lower c… https://t.co/9OMhAZk045","New Orleans, LA",
theadvocateaca,Fri Feb 18 13:00:08 +0000 2022,"The 5th U.S. Circuit Court of Appeals' ruling doesn’t block United Airlines' vaccine mandate, but it says a lower c… https://t.co/gN8IVFY5di","Lafayette, Louisiana",
Iseeyas,Fri Feb 18 12:56:15 +0000 2022,"RT @RMFifthCircuit: W....ow.  The Fifth Circuit's just held that United 
Airlines employees might suffer irreparable injury from the compan…",Gulf of Mexico,
aaannelg_,Fri Feb 18 12:53:48 +0000 2022,RT @JetPhotos: A lenticular cloud over Mt. Shasta seen from a passing United Airlines A319. https://t.co/Qr9cFsYrVn © Hongming Zheng https:…,Valenzuela City,
jeffagyeman,Fri Feb 18 12:52:19 +0000 2022,RT @ClassicsPlanes: United Airlines and the Star Wars livery B737-800. Sadly they are repainting this plane into the standard United livery…,World,
scubarw,Fri Feb 18 12:50:47 +0000 2022,I will say it everyday @united is screwing their IAH-GCM customers They are not allowing their customers to make co… https://t.co/AG2jfOsp9k,"Texas, USA",
MoniHawkins,Fri Feb 18 12:46:17 +0000 2022,"We appreciate you 
#flightattendant Delta Air Lines American Airlines  United Airlines https://t.co/5RIwBq1gWn",The DMV,
ReligionClause,Fri Feb 18 12:46:04 +0000 2022,5th Circuit: United Airlines Employees Irreparably Injured By Religious Coercion Over COVID Vaccine https://t.co/5y6JbXJt8x,,
BernardoGarciaM,Fri Feb 18 12:42:44 +0000 2022,"RT @DPRK_News: This “tweet” brought to you by United Airlines, and Hyatt Zilara Five Star Cancun Resort. Why not try a holiday in Mexico th…",Muy noble y muy leal CDMX,
claytooine,Fri Feb 18 12:41:49 +0000 2022,"RT @RMFifthCircuit: W....ow.  The Fifth Circuit's just held that United 
Airlines employees might suffer irreparable injury from the compan…",Arlington,
cicadadazed,Fri Feb 18 12:41:29 +0000 2022,i’m going to scream and yell and sob at united airlines,he/they/6teen,
FSNolan5,Fri Feb 18 12:38:59 +0000 2022,"RT @DublinAirport: Fly Direct from Dublin Airport to New York / Newark 🗽

We have 2 return flights to New York / Newark to giveaway with th…",,
hvieux,Fri Feb 18 12:38:48 +0000 2022,"RT @RMFifthCircuit: W....ow.  The Fifth Circuit's just held that United 
Airlines employees might suffer irreparable injury from the compan…","Washington, D.C.",
TurnedPageist,Fri Feb 18 12:37:47 +0000 2022,"RT @RMFifthCircuit: W....ow.  The Fifth Circuit's just held that United 
Airlines employees might suffer irreparable injury from the compan…",Out and About,
EllieKrote,Fri Feb 18 12:26:27 +0000 2022,RT @Scepticskeptic1: Schlatt’s gonna arrive at the UK Airport and the Queen’s Soldiers will drag him out of the plane like a United Airline…,She/her | ,
centralspotter,Fri Feb 18 12:23:04 +0000 2022,"👀✈️🔊
N686UA 
#UAL53 
#United Airlines 
#United States
#Boeing 767 3CBER/W 
#United Airlines#A91B44
From: #ZRH Züric… https://t.co/9s3tlc96Td","Scotland, United Kingdom",
UnbreededTruth,Fri Feb 18 12:22:03 +0000 2022,"@IvoryHecker The only people more radical than these airlines, is the District Attorneys trying to prosecute Cops,… https://t.co/Nt4M6EF57l",Thee United States of America,
gotmtv,Fri Feb 18 12:21:12 +0000 2022,"RT @RMFifthCircuit: W....ow.  The Fifth Circuit's just held that United 
Airlines employees might suffer irreparable injury from the compan…",United States,
CI20181,Fri Feb 18 12:20:14 +0000 2022,"RT @RMFifthCircuit: W....ow.  The Fifth Circuit's just held that United 
Airlines employees might suffer irreparable injury from the compan…",WITSEC,
kateacosta5,Fri Feb 18 12:17:31 +0000 2022,"RT @RMFifthCircuit: W....ow.  The Fifth Circuit's just held that United 
Airlines employees might suffer irreparable injury from the compan…","California, USA",
racouncil,Fri Feb 18 12:11:39 +0000 2022,Judge ordered to reconsider United Airlines employees’ bid to put vaccine policy on hold https://t.co/PdragiQ1em,"Myrtle Beach, SC",
Flight_Refunds,Fri Feb 18 12:08:14 +0000 2022,"RT @the_brewersarms: @Leigh_J_Holland @British_Airways Stuck in Brussels on our return from the states, should have been this morning stuck…","London, UK",
centralspotter,Fri Feb 18 12:06:18 +0000 2022,"👀✈️🔊
N12012 
#UAL961 
#United Airlines 
#United States
#Boeing 787 10 
#United Airlines#A05648
From: #FRA Frankfurt… https://t.co/APPeIImSAy","Scotland, United Kingdom",
centralspotter,Fri Feb 18 12:03:49 +0000 2022,"👀✈️🔊
N91007 
#UAL951 
#United Airlines 
#United States
#Boeing 787 10 
#United Airlines#AC9923
From: #BRU Brussels,… https://t.co/PlsR90LXOo","Scotland, United Kingdom",
DrTimBoone,Fri Feb 18 11:59:47 +0000 2022,"RT @RMFifthCircuit: W....ow.  The Fifth Circuit's just held that United 
Airlines employees might suffer irreparable injury from the compan…","Marietta, GA",
centralspotter,Fri Feb 18 11:59:40 +0000 2022,"👀✈️🔊
N91007 
#Unknown 
#United Airlines 
#United States
#Boeing 787 10 
#United Airlines#AC9923
From: #Unknown
To:… https://t.co/BSDMPErTVc","Scotland, United Kingdom",
the_brewersarms,Fri Feb 18 11:59:15 +0000 2022,"@Leigh_J_Holland @British_Airways Stuck in Brussels on our return from the states, should have been this morning st… https://t.co/hXcR80cLCt","st johns Worcester, England",
centralspotter,Fri Feb 18 11:59:11 +0000 2022,"👀✈️🔊
N12004 
#UAL988 
#United Airlines 
#United States
#Boeing 787 10 
#United Airlines#A05627
From: #FRA Frankfurt… https://t.co/d76gTeR5yp","Scotland, United Kingdom",
AviatorDave,Fri Feb 18 11:58:30 +0000 2022,RT @airlinevideos: United Airlines Boeing 757-324 Reg: N75858 Flight UA1221 from Honolulu (HNL) lands on runway 24R at Los Angeles Internat…,"San Francisco, CA",
69NiceBot69,Fri Feb 18 11:58:14 +0000 2022,"RT @centralspotter: 👀✈️🔊
N12012 
#UAL961 
#United Airlines 
#United States
#Boeing 787 10 
#United Airlines#A05648
From: #FRA Frankfurt-am-…",,
centralspotter,Fri Feb 18 11:58:10 +0000 2022,"👀✈️🔊
N12012 
#UAL961 
#United Airlines 
#United States
#Boeing 787 10 
#United Airlines#A05648
From: #FRA Frankfurt… https://t.co/xQy1mPzElS","Scotland, United Kingdom",
centralspotter,Fri Feb 18 11:57:09 +0000 2022,"👀✈️🔊
N27901 
#UAL986 
#United Airlines 
#United States
#Boeing 787 8 
#United Airlines#A2CA5D
From: #CDG Charles de… https://t.co/nfZHhbu7nl","Scotland, United Kingdom",
69NiceBot69,Fri Feb 18 11:47:50 +0000 2022,"RT @centralspotter: 👀✈️🔊
N12012 
#UAL961 
#United Airlines 
#United States
#Boeing 787 10 
#United Airlines#A05648
From: #FRA Frankfurt-am-…",,
laxradar,Fri Feb 18 11:47:47 +0000 2022,"United Airlines flight #UAL1731 spotted at 37,000 feet! https://t.co/owQARDVRX9","Los Angeles, CA",
centralspotter,Fri Feb 18 11:47:29 +0000 2022,"👀✈️🔊
N12012 
#UAL961 
#United Airlines 
#United States
#Boeing 787 10 
#United Airlines#A05648
From: #FRA Frankfurt… https://t.co/lcD5X5EsmM","Scotland, United Kingdom",
squawk7kdotnet,Fri Feb 18 11:45:01 +0000 2022,"RT @BusinessDayNg: If Air Peace goes under, Nigeria’s economy will suffer – CEO United Nigeria Airlines

#aviation #airpeace #economy #unit…",,
bakariamin,Fri Feb 18 11:43:37 +0000 2022,"RT @BusinessDayNg: If Air Peace goes under, Nigeria’s economy will suffer – CEO United Nigeria Airlines

#aviation #airpeace #economy #unit…",Nigeria,
centralspotter,Fri Feb 18 11:42:57 +0000 2022,"👀✈️🔊
N27903 
#Unknown 
#United Airlines 
#United States
#Boeing 787 8 
#United Airlines#A2CA5F
From: #Unknown
To:… https://t.co/8NVehaFbfc","Scotland, United Kingdom",
BusinessDayNg,Fri Feb 18 11:42:49 +0000 2022,"If Air Peace goes under, Nigeria’s economy will suffer – CEO United Nigeria Airlines

#aviation #airpeace #economy… https://t.co/MouAMdrshA","Lagos - Abuja, Nigeria",
Airgal_3,Fri Feb 18 11:42:25 +0000 2022,RT @JetPhotos: A lenticular cloud over Mt. Shasta seen from a passing United Airlines A319. https://t.co/Qr9cFsYrVn © Hongming Zheng https:…,Taiwan,
